ent,nom_ent,mun,nom_mun,latitud,longitud,altitud
01,Aguascalientes,001,Aguascalientes,22°03´26.004,102°32´18.793,1916
01,Aguascalientes,002,Asientos,22°17´45.544,102°12´24.275,2032
01,Aguascalientes,003,Calvillo,22°06´18.615,102°51´27.923,1817
01,Aguascalientes,004,Cosío,22°26´28.061,102°19´26.495,1969
01,Aguascalientes,005,Jesús María,22°02´50.408,102°35´03.164,1936
01,Aguascalientes,006,Pabellón de Arteaga,22°10´16.991,102°21´05.063,1912
01,Aguascalientes,007,Rincón de Romos,22°22´27.166,102°25´54.493,1939
01,Aguascalientes,008,San José de Gracia,22°19´05.161,102°40´50.681,2346
01,Aguascalientes,009,Tepezalá,22°19´48.602,102°16´36.163,1950
01,Aguascalientes,010,El Llano,22°02´47.763,102°10´05.974,2022
01,Aguascalientes,011,San Francisco de los Romo,22°05´14.013,102°18´22.055,1913
02,Baja California,001,Ensenada,32°16´56.008,116°53´01.587,367
02,Baja California,002,Mexicali,32°42´58.278,115°51´12.497,24
02,Baja California,003,Tecate,32°36´41.749,116°44´47.158,768
02,Baja California,004,Tijuana,32°32´41.553,117°15´36.000,220
02,Baja California,005,Playas de Rosarito,32°25´32.791,117°05´26.995,111
02,Baja California,006,San Quintín,31°07´02.157,118°19´37.676,145
03,Baja California Sur,001,Comondú,26°34´42.743,112°45´05.489,116
03,Baja California Sur,002,Mulegé,27°59´10.474,115°10´13.858,264
03,Baja California Sur,003,La Paz,25°05´51.613,111°40´17.315,201
03,Baja California Sur,008,Los Cabos,23°39´26.480,110°06´05.419,228
03,Baja California Sur,009,Loreto,26°33´12.176,111°46´26.460,185
04,Campeche,001,Calkiní,20°41´25.798,090°27´08.853,12
04,Campeche,002,Campeche,20°12´16.849,091°57´43.908,33
04,Campeche,003,Carmen,19°01´17.138,092°27´54.859,14
04,Campeche,004,Champotón,19°36´23.023,091°10´54.981,23
04,Campeche,005,Hecelchakán,20°14´45.865,090°29´11.201,23
04,Campeche,006,Hopelchén,20°11´14.923,090°02´51.187,112
04,Campeche,007,Palizada,18°32´11.618,092°07´58.819,4
04,Campeche,008,Tenabo,20°05´36.282,090°22´07.150,20
04,Campeche,009,Escárcega,18°57´42.836,091°01´10.952,76
04,Campeche,010,Calakmul,19°00´22.772,090°11´13.019,210
04,Campeche,011,Candelaria,18°29´32.869,091°17´21.062,64
04,Campeche,012,Seybaplaya,19°42´28.900,090°42´35.054,10
05,Coahuila de Zaragoza,001,Abasolo,27°14´04.340,101°25´55.814,432
05,Coahuila de Zaragoza,002,Acuña,29°50´21.829,102°49´55.160,497
05,Coahuila de Zaragoza,003,Allende,28°22´40.314,101°01´42.009,398
05,Coahuila de Zaragoza,004,Arteaga,25°30´50.220,100°56´10.161,2084
05,Coahuila de Zaragoza,005,Candela,27°04´11.818,101°02´29.169,487
05,Coahuila de Zaragoza,006,Castaños,26°49´57.561,101°44´59.806,896
05,Coahuila de Zaragoza,007,Cuatro Ciénegas,27°13´43.938,103°09´43.188,930
05,Coahuila de Zaragoza,008,Escobedo,27°30´08.565,101°28´42.122,443
05,Coahuila de Zaragoza,009,Francisco I. Madero,26°38´23.930,103°20´45.130,1103
05,Coahuila de Zaragoza,010,Frontera,27°04´04.893,101°35´41.419,560
05,Coahuila de Zaragoza,011,General Cepeda,25°43´00.556,101°52´14.387,1416
05,Coahuila de Zaragoza,012,Guerrero,28°33´19.140,100°38´34.932,265
05,Coahuila de Zaragoza,013,Hidalgo,28°04´18.285,100°17´36.835,181
05,Coahuila de Zaragoza,014,Jiménez,29°16´18.180,101°18´20.077,315
05,Coahuila de Zaragoza,015,Juárez,27°52´44.990,101°00´48.796,277
05,Coahuila de Zaragoza,016,Lamadrid,27°13´58.635,101°58´45.644,808
05,Coahuila de Zaragoza,017,Matamoros,25°45´44.715,103°21´50.785,1116
05,Coahuila de Zaragoza,018,Monclova,27°03´10.894,101°28´42.576,564
05,Coahuila de Zaragoza,019,Morelos,28°27´02.591,101°17´44.184,388
05,Coahuila de Zaragoza,020,Múzquiz,29°02´09.096,102°34´34.501,612
05,Coahuila de Zaragoza,021,Nadadores,27°26´51.439,101°53´02.940,562
05,Coahuila de Zaragoza,022,Nava,28°38´23.400,100°49´04.741,288
05,Coahuila de Zaragoza,023,Ocampo,29°11´33.560,103°35´52.479,1182
05,Coahuila de Zaragoza,024,Parras,26°03´04.028,102°51´18.430,1402
05,Coahuila de Zaragoza,025,Piedras Negras,28°54´46.890,100°43´42.149,240
05,Coahuila de Zaragoza,026,Progreso,27°41´09.059,101°35´40.099,377
05,Coahuila de Zaragoza,027,Ramos Arizpe,26°18´30.355,101°46´30.949,1180
05,Coahuila de Zaragoza,028,Sabinas,28°14´36.733,101°21´38.239,371
05,Coahuila de Zaragoza,029,Sacramento,27°02´03.869,101°48´12.720,599
05,Coahuila de Zaragoza,030,Saltillo,25°30´48.479,101°35´14.924,1858
05,Coahuila de Zaragoza,031,San Buenaventura,28°35´27.530,102°24´44.880,682
05,Coahuila de Zaragoza,032,San Juan de Sabinas,28°13´14.888,101°33´22.706,387
05,Coahuila de Zaragoza,033,San Pedro,26°29´15.649,103°13´22.647,1094
05,Coahuila de Zaragoza,034,Sierra Mojada,28°28´04.368,103°55´07.361,1295
05,Coahuila de Zaragoza,035,Torreón,25°40´38.339,103°30´00.906,1151
05,Coahuila de Zaragoza,036,Viesca,25°32´29.802,103°29´13.546,1169
05,Coahuila de Zaragoza,037,Villa Unión,28°22´06.561,101°01´35.171,408
05,Coahuila de Zaragoza,038,Zaragoza,29°20´26.668,101°56´11.245,465
06,Colima,001,Armería,19°08´26.150,104°06´26.259,53
06,Colima,002,Colima,19°19´06.000,103°48´21.830,458
06,Colima,003,Comala,19°28´50.470,103°53´52.130,980
06,Colima,004,Coquimatlán,19°15´51.621,104°02´23.389,329
06,Colima,005,Cuauhtémoc,19°26´30.050,103°41´23.039,977
06,Colima,006,Ixtlahuacán,19°03´54.542,103°45´25.000,222
06,Colima,007,Manzanillo,19°18´12.436,112°03´54.000,117
06,Colima,008,Minatitlán,19°28´42.531,104°10´49.056,898
06,Colima,009,Tecomán,19°06´43.792,114°45´25.000,39
06,Colima,010,Villa de Álvarez,19°25´23.100,103°59´49.657,740
07,Chiapas,001,Acacoyagua,15°29´01.477,092°45´34.759,287
07,Chiapas,002,Acala,16°38´52.054,092°54´50.358,455
07,Chiapas,003,Acapetahua,15°23´14.741,092°53´18.028,16
07,Chiapas,004,Altamirano,16°50´30.289,092°07´20.073,1116
07,Chiapas,005,Amatán,17°30´24.748,092°55´30.049,560
07,Chiapas,006,Amatenango de la Frontera,15°38´13.271,092°11´37.081,1064
07,Chiapas,007,Amatenango del Valle,16°33´50.488,092°28´34.984,2184
07,Chiapas,008,Ángel Albino Corzo,15°52´50.345,092°49´13.820,1115
07,Chiapas,009,Arriaga,16°23´14.844,094°05´37.461,83
07,Chiapas,010,Bejucal de Ocampo,15°32´43.476,092°11´51.980,1916
07,Chiapas,011,Bella Vista,15°41´29.688,092°18´55.951,1423
07,Chiapas,012,Berriozábal,17°01´31.382,093°25´33.772,882
07,Chiapas,013,Bochil,17°09´34.664,093°04´00.188,1296
07,Chiapas,014,El Bosque,17°05´21.984,092°48´29.988,1106
07,Chiapas,015,Cacahoatán,15°11´16.010,092°13´12.935,843
07,Chiapas,016,Catazajá,17°54´50.419,092°10´54.176,20
07,Chiapas,017,Cintalapa,17°01´59.988,094°07´14.431,663
07,Chiapas,018,Coapilla,17°10´11.831,093°12´03.349,1371
07,Chiapas,019,Comitán de Domínguez,16°31´22.159,092°20´32.754,1585
07,Chiapas,020,La Concordia,16°14´35.988,093°07´21.000,860
07,Chiapas,021,Copainalá,17°12´49.501,093°22´41.447,706
07,Chiapas,022,Chalchihuitán,17°05´06.917,092°39´51.609,1320
07,Chiapas,023,Chamula,16°53´18.009,092°49´22.070,2244
07,Chiapas,024,Chanal,16°42´36.376,092°20´35.566,2006
07,Chiapas,025,Chapultenango,17°24´24.408,093°12´19.642,690
07,Chiapas,026,Chenalhó,17°04´03.138,092°41´41.845,1483
07,Chiapas,027,Chiapa de Corzo,16°54´07.680,093°05´11.004,503
07,Chiapas,028,Chiapilla,16°34´58.484,092°45´46.441,473
07,Chiapas,029,Chicoasén,17°02´25.394,093°09´21.830,707
07,Chiapas,030,Chicomuselo,15°56´35.217,092°36´20.406,807
07,Chiapas,031,Chilón,17°15´34.517,092°23´35.762,978
07,Chiapas,032,Escuintla,15°28´24.238,092°43´20.122,469
07,Chiapas,033,Francisco León,17°21´10.059,093°22´31.363,608
07,Chiapas,034,Frontera Comalapa,15°55´21.627,092°14´34.490,652
07,Chiapas,035,Frontera Hidalgo,14°47´22.371,092°14´47.826,42
07,Chiapas,036,La Grandeza,15°33´18.956,092°14´51.567,2137
07,Chiapas,037,Huehuetán,15°06´15.498,092°32´53.800,128
07,Chiapas,038,Huixtán,16°46´11.471,092°30´45.957,2048
07,Chiapas,039,Huitiupán,17°18´39.996,092°48´39.785,593
07,Chiapas,040,Huixtla,15°17´00.625,092°43´19.674,242
07,Chiapas,041,La Independencia,16°17´59.510,092°01´50.640,1209
07,Chiapas,042,Ixhuatán,17°20´13.306,093°03´35.466,919
07,Chiapas,043,Ixtacomitán,17°29´01.578,093°08´44.692,277
07,Chiapas,044,Ixtapa,16°54´40.975,092°58´59.152,1175
07,Chiapas,045,Ixtapangajoya,17°32´23.301,093°02´10.240,309
07,Chiapas,046,Jiquipilas,16°49´16.440,093°55´17.004,608
07,Chiapas,047,Jitotol,17°09´07.019,092°58´16.663,1430
07,Chiapas,048,Juárez,17°49´59.118,093°21´11.080,45
07,Chiapas,049,Larráinzar,16°59´40.464,092°50´57.098,1909
07,Chiapas,050,La Libertad,17°43´09.066,091°51´04.399,42
07,Chiapas,051,Mapastepec,15°38´09.760,093°06´59.394,67
07,Chiapas,052,Las Margaritas,16°37´07.602,092°08´49.516,1187
07,Chiapas,053,Mazapa de Madero,15°27´16.226,092°14´07.265,1780
07,Chiapas,054,Mazatán,14°57´18.821,092°37´22.507,13
07,Chiapas,055,Metapa,14°51´09.027,092°12´36.979,93
07,Chiapas,056,Mitontic,16°53´23.330,092°37´49.999,1926
07,Chiapas,057,Motozintla,15°25´34.524,092°28´50.512,1374
07,Chiapas,058,Nicolás Ruíz,16°26´13.463,092°35´07.250,732
07,Chiapas,059,Ocosingo,17°11´47.917,092°19´59.027,806
07,Chiapas,060,Ocotepec,17°15´36.278,093°12´49.761,1449
07,Chiapas,061,Ocozocoautla de Espinosa,17°08´52.192,093°51´38.529,783
07,Chiapas,062,Ostuacán,17°34´06.547,093°32´35.000,174
07,Chiapas,063,Osumacinta,16°56´28.222,093°08´27.572,939
07,Chiapas,064,Oxchuc,16°53´31.491,092°27´06.930,1827
07,Chiapas,065,Palenque,17°48´28.530,092°20´22.620,83
07,Chiapas,066,Pantelhó,17°07´24.375,092°31´28.739,923
07,Chiapas,067,Pantepec,17°16´01.690,093°06´07.120,1437
07,Chiapas,068,Pichucalco,17°40´38.114,093°23´49.090,123
